symbol,split,hypothesis,horizon_bars,threshold,side,insufficient,ks_stat,ks_p_value,mean_diff_obs_bps,mean_diff_perm_p,mean_diff_boot_ci_lo_bps,mean_diff_boot_ci_hi_bps,mean_up_excursion_bps,mean_down_excursion_bps,event_n,event_insufficient,event_mean_bps,event_median_bps,event_std_bps,event_skew,event_kurtosis,event_prob_positive,event_mean_abs_bps,event_prob_large_positive,event_prob_large_negative,event_upside_tail_mean_bps,event_downside_tail_mean_bps,baseline_n,baseline_insufficient,baseline_mean_bps,baseline_median_bps,baseline_std_bps,baseline_skew,baseline_kurtosis,baseline_prob_positive,baseline_mean_abs_bps,baseline_prob_large_positive,baseline_prob_large_negative,baseline_upside_tail_mean_bps,baseline_downside_tail_mean_bps,vol_side
MES,discovery,A_relative_volume,60,0.7,low,False,0.022082689713157227,0.7273603215546876,-0.13382852013380003,0.9210789210789211,-3.3767843147071117,3.1203260700752016,25.547656115001658,-27.29395252563163,1791,False,1.5892093578538056,1.9513718143859826,47.293285584265774,2.255888135258324,64.4034504432953,0.5332216638749302,26.409874412649778,0.1044109436069235,0.09826912339475154,74.66181753764722,-78.51787035433173,2056,False,1.7230378779876057,2.3391062773903126,49.82931915138768,1.9840628834612242,67.44658853512931,0.5437743190661478,27.726860706439002,0.10019455252918288,0.10019455252918288,80.6802259828525,-83.60737879666635,
MES,discovery,A_relative_volume,100,0.7,low,False,0.026165813856015425,0.799656659254628,1.105567130009508,0.6813186813186813,-4.180391894912639,6.223097925972112,36.139636429198056,-36.530594808257966,1133,False,3.9995698198619483,3.556662072645711,61.035906916999586,2.9810846025401854,55.54408431628783,0.558693733451015,36.628479589376674,0.10679611650485436,0.10238305383936452,101.79267485582459,-96.46184083340059,1234,False,2.89400268985244,2.942212256938914,65.28150791756185,2.953261497624338,74.42253240395118,0.5413290113452188,36.854017595161295,0.10048622366288493,0.10048622366288493,105.807745077793,-105.64122805315773,
MES,discovery,A_relative_volume,5,0.8,high,False,0.014408605208032721,0.12607596757813633,-0.11481374504973511,0.5094905094905094,-0.45257100730577104,0.1963642120613891,7.309763005649609,-7.807856216636853,9071,False,0.02877988606734421,0.41218416388488777,13.303544455118917,2.3329836771821535,78.3788331882481,0.5089846764414067,7.316622998324583,0.09965825157094035,0.10638297872340426,21.552875318278016,-22.033110021338,24681,False,0.14359363111707932,0.3895749737026222,13.590142944914186,2.8810651332045216,209.89288776079354,0.503383169239496,7.191591355838038,0.09999594830031198,0.09999594830031198,21.6123251270122,-22.27256075290211,
MES,discovery,A_relative_volume,10,0.8,high,False,0.013544395835618228,0.4193953576237599,-0.11224704426053567,0.6843156843156843,-0.6606043763526372,0.4817164565718515,10.483017181860829,-11.197568262734386,6384,False,0.17410444354859134,0.42280003873296224,20.118282592483496,4.9146640925733545,142.95266947288536,0.5095551378446115,10.543979962586864,0.09664786967418547,0.106203007518797,31.850946819828412,-31.47583058575497,12340,False,0.286351487809127,0.4759411779842182,19.01876406956857,2.6434436775541554,146.4184556668905,0.5180713128038897,10.340944208905597,0.1,0.1,30.651695287479473,-31.98832708875478,
MES,discovery,A_relative_volume,20,0.8,high,False,0.011799433519765912,0.874558487924623,-0.3185176587007126,0.5824175824175825,-1.4261912135759238,0.7174986667437712,14.67834428546564,-16.12454088273257,4152,False,0.2557944897501708,0.9517731794539408,28.560425315860737,-0.6380218885425678,78.40595494853989,0.530587668593449,15.083982979621613,0.09344894026974952,0.0985067437379576,45.82960364514052,-48.080575811563975,6170,False,0.5743121484508833,0.9917809656612153,27.486485030510067,1.7660001627674657,89.56756697564367,0.5280388978930308,15.013185921428663,0.1,0.1,44.596711899446824,-46.273310233193456,
MES,discovery,A_relative_volume,40,0.8,high,False,0.02083507607047629,0.5797399668450515,-0.03130524915123228,0.978021978021978,-2.086471894223925,2.0666955555732667,21.857678655045152,-23.361764023485666,2480,False,1.1189907409816857,1.641709788964274,41.25547432596269,1.8659660048973816,66.17056947355209,0.5346774193548387,22.691364372860804,0.1064516129032258,0.10483870967741936,65.24646029811315,-66.38056486748275,3085,False,1.1502959901329182,1.7739932588245466,39.317029725852464,1.723477319216956,83.90742271161575,0.5423014586709887,21.59474417881309,0.10016207455429497,0.10016207455429497,62.66344191624117,-66.25898527111015,
MES,discovery,A_relative_volume,60,0.8,high,False,0.018485511274379487,0.8929017523896883,0.03590334294712637,0.9760239760239761,-3.038396900706156,3.298469590404231,26.82307639138849,-28.917289353190714,1771,False,1.758941220934732,2.8312570781419133,49.34455195142367,1.6483714258856366,50.84676165566341,0.5550536420101637,27.281511786336768,0.10163749294184077,0.09994353472614342,79.11718542207798,-82.5992805430227,2056,False,1.7230378779876057,2.3391062773903126,49.82931915138768,1.9840628834612242,67.44658853512931,0.5437743190661478,27.726860706439002,0.10019455252918288,0.10019455252918288,80.6802259828525,-83.60737879666635,
MES,discovery,A_relative_volume,100,0.8,high,False,0.02821096632064691,0.723660629808233,0.5236430920453216,0.8591408591408591,-4.263140866524673,5.632897383408701,36.608345349601905,-37.510213336975305,1119,False,3.4176457818977615,4.723442444853898,65.90764806996539,3.478572825692819,75.93613724603146,0.5594280607685433,36.79485386176734,0.10723860589812333,0.09919571045576407,102.31474535995004,-105.74247655329569,1234,False,2.89400268985244,2.942212256938914,65.28150791756185,2.953261497624338,74.42253240395118,0.5413290113452188,36.854017595161295,0.10048622366288493,0.10048622366288493,105.807745077793,-105.64122805315773,
MES,discovery,A_relative_volume,5,0.8,low,False,0.03375421862885858,3.6150704868400807e-06,-0.09092220439334311,0.5874125874125874,-0.3741911665094515,0.21375741340400337,5.839884570788831,-6.184604314973334,7568,False,0.05267142672373621,0.0,10.798668010303373,-2.40569312136406,62.04375574720925,0.49365750528541225,5.850432851842966,0.07544926004228329,0.07756342494714588,19.4264471864599,-20.952327848511146,24681,False,0.14359363111707932,0.3895749737026222,13.590142944914186,2.8810651332045216,209.89288776079354,0.503383169239496,7.191591355838038,0.09999594830031198,0.09999594830031198,21.6123251270122,-22.27256075290211,
MES,discovery,A_relative_volume,10,0.8,low,False,0.04471013272957114,4.6421831235629724e-07,-0.1436975869753235,0.6093906093906094,-0.6033162665697785,0.3661752086379209,8.373732165341893,-9.122463714038217,5517,False,0.1426539008338035,0.4076142338882427,14.806044273170535,-0.7417782334051498,33.20233955739932,0.5049845930759471,8.392709409722803,0.07522204096429219,0.07703462026463657,28.44498988096984,-29.222017242641297,12340,False,0.286351487809127,0.4759411779842182,19.01876406956857,2.6434436775541554,146.4184556668905,0.5180713128038897,10.340944208905597,0.1,0.1,30.651695287479473,-31.98832708875478,
MES,discovery,A_relative_volume,20,0.8,low,False,0.037986540044284665,0.0024029619796041143,-0.32678271076594845,0.5394605394605395,-1.3200740523953436,0.723974728606406,12.512594935726042,-13.897461976728788,3714,False,0.2475294376849349,0.8473499876759938,24.11975801555092,-1.4879507026593564,52.49422286412561,0.5234248788368336,12.891793232776207,0.07189014539579967,0.08266020463112547,44.52193015788164,-44.98863416029026,6170,False,0.5743121484508833,0.9917809656612153,27.486485030510067,1.7660001627674657,89.56756697564367,0.5280388978930308,15.013185921428663,0.1,0.1,44.596711899446824,-46.273310233193456,
MES,discovery,A_relative_volume,40,0.8,low,False,0.02936587003022701,0.20199940326017352,0.1768540513260462,0.8581418581418582,-1.9926858492485775,2.2570166529254063,19.746335668623328,-20.511131105157776,2289,False,1.3271500414589643,1.4202528050000218,38.14219787911478,4.301897048043025,124.83552178557429,0.5377894276976846,19.86840793359506,0.08650065530799476,0.08213193534294452,65.12547896122675,-65.4573179264307,3085,False,1.1502959901329182,1.7739932588245466,39.317029725852464,1.723477319216956,83.90742271161575,0.5423014586709887,21.59474417881309,0.10016207455429497,0.10016207455429497,62.66344191624117,-66.25898527111015,
MES,discovery,A_relative_volume,60,0.8,low,False,0.019262962627816488,0.8688382259605594,0.24979275899433623,0.8661338661338661,-2.5913613496210566,3.1283751723753297,25.67063713972916,-26.988516950006062,1720,False,1.9728306369819417,1.8116612013452382,47.454894103403895,3.9240721499098785,94.56685505714947,0.5302325581395348,26.04752951349981,0.1,0.09593023255813954,77.07304866629435,-76.9363136224289,2056,False,1.7230378779876057,2.3391062773903126,49.82931915138768,1.9840628834612242,67.44658853512931,0.5437743190661478,27.726860706439002,0.10019455252918288,0.10019455252918288,80.6802259828525,-83.60737879666635,
MES,discovery,A_relative_volume,100,0.8,low,False,0.022700903670300886,0.9183464419959809,-0.021219179399200414,0.993006993006993,-5.359400243295781,5.66308316134306,34.360224465455005,-36.864990786982034,1084,False,2.8727835104532398,4.330152700608991,66.23977378386147,4.8214683346299205,105.96314840275218,0.5452029520295203,36.01535402948037,0.09501845018450185,0.09686346863468635,103.7154025615133,-103.75045460436543,1234,False,2.89400268985244,2.942212256938914,65.28150791756185,2.953261497624338,74.42253240395118,0.5413290113452188,36.854017595161295,0.10048622366288493,0.10048622366288493,105.807745077793,-105.64122805315773,
