n,insufficient,mean_bps,median_bps,baseline_mean_bps,prob_positive,prob_negative,mean_positive_bps,mean_negative_bps,mean_abs_bps,p5_bps,p95_bps,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,threshold_pctile,horizon_bars,method
618,False,1.4052753324934648,4.316138640463318,0.6717902919769171,0.5550161812297735,0.4449838187702265,34.751682867155225,-40.18678933801193,37.17021729997981,-89.29948204198273,70.03448360823194,0.3125171576561522,0.7547531189096028,MNQ,discovery,0.95,20,non_overlapping_events
423,False,2.2078449620821163,4.399035050375311,1.3440923741333435,0.5366430260047281,0.46335697399527187,49.45112077170524,-52.50758161334875,50.86735321842422,-106.00395637509318,104.66380536400716,0.22523408480616047,0.8219062040442812,MNQ,discovery,0.95,40,non_overlapping_events
2337,False,0.822350192656832,2.4965672200716327,0.3352156255953169,0.5348737697903295,0.46512623020967053,24.225018572355566,-26.089641964310434,25.0923038214163,-56.86868218983409,51.762522678761655,0.5939906111400756,0.5525759077484007,NQ,discovery,0.85,10,non_overlapping_events
1320,False,2.2622209866701706,3.8663409677797134,0.6720929962517687,0.5575757575757576,0.44242424242424244,33.73531530411126,-37.40250061887202,35.3577669888236,-80.95463952618009,75.2201010450515,1.051851702464897,0.29306025480061826,NQ,discovery,0.85,20,non_overlapping_events
796,False,3.763927793987178,5.668232375346527,1.3449448014468262,0.5489949748743719,0.4510050251256281,46.259824108576026,-47.96506019898031,47.028894154373944,-101.36686622887441,92.52139638469548,0.9165872900480627,0.3596369024945209,NQ,discovery,0.85,40,non_overlapping_events
1728,False,1.4773364420414232,2.315436061848253,0.3352156255953169,0.5353009259259259,0.46469907407407407,25.96011544136614,-26.72511757336999,26.31561122377302,-58.56908137215783,54.10341026127218,1.179067429807921,0.2385337374510679,NQ,discovery,0.9,10,non_overlapping_events
1014,False,2.4149703060948,5.772499662941577,0.6720929962517687,0.5562130177514792,0.4437869822485207,34.929659163144635,-38.336773061407655,36.44169195823178,-81.92982070269404,71.3933340709706,0.9906192111066189,0.32210810966467196,NQ,discovery,0.9,20,non_overlapping_events
635,False,1.9376875931013422,4.274953196632403,1.3449448014468262,0.5433070866141733,0.4566929133858268,46.78688981431149,-51.41739780799349,48.90161000040248,-99.49022930953277,91.6140391281126,0.1937192801304589,0.8464577422082109,NQ,discovery,0.9,40,non_overlapping_events
996,False,0.5176441219134721,1.8208489044369003,0.3352156255953169,0.5220883534136547,0.4779116465863454,27.431640230980463,-28.88420036698324,28.125835637343236,-63.504618153474304,57.737435237588116,0.12837277909163672,0.897879913521784,NQ,discovery,0.95,10,non_overlapping_events
619,False,1.0214401210532476,4.301619433197956,0.6720929962517687,0.5589660743134087,0.4410339256865913,34.49823121315448,-41.40702038395418,37.54524162289328,-92.87565281564625,71.43363230279,0.1484325030537357,0.8820498689722801,NQ,discovery,0.95,20,non_overlapping_events
423,False,2.0799085764694247,4.612610597822808,1.3449448014468262,0.5366430260047281,0.46335697399527187,49.0792809502201,-52.35303799925202,50.596199110055224,-101.45446408502666,101.33246380926491,0.19238273679696996,0.8475349577666061,NQ,discovery,0.95,40,non_overlapping_events
