n,insufficient,mean_bps,median_bps,baseline_mean_bps,prob_positive,prob_negative,mean_positive_bps,mean_negative_bps,mean_abs_bps,p5_bps,p95_bps,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,threshold_pctile,horizon_bars
25931,False,3.8650113035969627,5.486284289277776,1.7240846340635767,0.5640738883961282,0.4359261116038718,37.848013161776684,-40.10786273918389,38.833140600865455,-79.8027952869712,81.24096207947518,5.080231793272456,3.795877119130324e-07,MES,discovery,0.8,60
20136,False,4.602127067617724,5.869937421657534,1.7240846340635767,0.5672924116011124,0.43270758839888757,39.03851774511408,-40.54499685170293,39.69038268629945,-80.3767814131448,83.25002842774876,5.86434093603307,4.5796896952453136e-09,MES,discovery,0.85,60
14294,False,5.402805793550688,6.227868854838947,1.7240846340635767,0.5659017769693577,0.4340982230306422,41.28587962398141,-41.37530608628075,41.32469949235747,-83.15435433921513,88.00715051951437,6.142998369851116,8.312513221874557e-10,MES,discovery,0.9,60
7853,False,5.756956814340329,5.995203836930418,1.7240846340635767,0.5601680886285496,0.4398319113714504,43.106991844117516,-41.81189208432495,42.53736564135125,-86.70803996569387,91.49283848393397,4.980279258337704,6.484645548525426e-07,MES,discovery,0.95,60
4661,False,4.915749161892986,5.811781310971487,1.7240846340635767,0.5546020167346063,0.4453979832653937,42.96802527141714,-42.466299847316996,42.74455777936996,-90.54235768713559,95.7198829539263,3.46209751948261,0.0005407999946788652,MES,discovery,0.975,60
38139,False,5.364549866964853,6.086427267193439,2.87623914261817,0.5673195416764991,0.4326804583235009,42.397341029084465,-43.19189798025257,42.74113029488001,-89.13791420447325,93.61438496778344,6.178810492603688,6.523826425195246e-10,MES,discovery,0.7,100
32044,False,5.338320801508807,6.229143603756482,2.87623914261817,0.5675009362127075,0.43249906378729247,43.121720515640085,-44.238930356690005,43.604912725948125,-91.14150802677662,94.67932323392168,5.453823992754932,4.966197619665252e-08,MES,discovery,0.75,100
25931,False,5.504582267456064,6.993985172751849,2.87623914261817,0.5741776252362037,0.42582237476379625,43.30574600317498,-45.46639462632396,44.2257985309144,-92.42292167805921,96.80309818585143,5.312913306584927,1.0877607281828895e-07,MES,discovery,0.8,100
20136,False,6.434359702337365,7.711428322237923,2.87623914261817,0.5809495431068733,0.41905045689312675,44.45299003983371,-46.27267249581767,45.21552880441419,-92.03679618845828,99.5130341494982,6.155128337620929,7.643491513102322e-10,MES,discovery,0.85,100
14294,False,7.220643477129234,8.507521513130278,2.87623914261817,0.5857702532531132,0.4142297467468868,46.19406034635097,-47.89241503426979,46.89756937861398,-94.05544061778431,102.49241905059051,6.170720048466787,6.981441786476596e-10,MES,discovery,0.9,100
