n,insufficient,mean_bps,baseline_mean_bps,prob_positive,mean_abs_bps,skew,prob_beyond_baseline_p95,prob_beyond_baseline_p05,t_stat_vs_baseline,p_value_vs_baseline,symbol,split,hypothesis,decile,variant,horizon_bars
2004,False,1.4234332321813288,1.1492413830124588,0.5244510978043913,21.270600602384697,3.884751733339412,0.04491017964071856,0.04291417165668663,0.30401858829099104,0.7611453081808267,MES,discovery,H2_close_location,0.9,top_decile,40
1700,False,0.7902626766034736,1.1492413830124588,0.5435294117647059,23.679771179129872,2.718840609698357,0.05235294117647059,0.051176470588235295,-0.3331197912114816,0.7390849620156666,MES,discovery,H2_close_location,0.9,bottom_decile,40
3021,False,0.6456713148549317,0.28694543347612245,0.4961933134723601,9.892099480072455,6.611103143976491,0.05130751406818934,0.037404832836809,1.0314397694172441,0.30241723287857164,MES,discovery,H2_close_location,0.95,top_decile,10
2106,False,0.2039765523084505,0.28694543347612245,0.5313390313390314,12.587150619926788,-2.374679096422722,0.06932573599240266,0.06552706552706553,-0.16678515806222344,0.8675551162247476,MES,discovery,H2_close_location,0.95,bottom_decile,10
2318,False,0.4122515196921525,0.5749546171777185,0.5133735979292493,14.680847460472009,5.6803345844682065,0.04659188955996549,0.04659188955996549,-0.26430427401336837,0.7915689737692565,MES,discovery,H2_close_location,0.95,top_decile,20
1703,False,-0.19704543671080407,0.5749546171777185,0.5273047563123899,17.621166462862018,-1.5839335426882917,0.06283029947152084,0.06635349383440986,-1.0387173141799066,0.2990837649206827,MES,discovery,H2_close_location,0.95,bottom_decile,20
1693,False,0.5547492303535233,1.1492413830124588,0.5298287064382753,21.3954077239896,1.9178236930425807,0.04370939161252215,0.04134672179562906,-0.6077627817107826,0.5434263782658693,MES,discovery,H2_close_location,0.95,top_decile,40
1329,False,0.5961826398968946,1.1492413830124588,0.5282167042889391,25.309037674098477,3.0367895317486093,0.05342362678705794,0.05492851768246802,-0.4156425217939816,0.6777387570737576,MES,discovery,H2_close_location,0.95,bottom_decile,40
4409,False,0.9950874122260757,0.33501323588971044,0.5193921524155137,13.324294660402964,2.5322220674261673,0.04785665683828533,0.03696983442957587,1.8263707158540996,0.06786204343943239,MNQ,discovery,H2_close_location,0.85,top_decile,10
3626,False,0.13378227766818857,0.33501323588971044,0.5322669608383894,15.808716348505559,2.195561717232605,0.059845559845559844,0.06729178157749587,-0.4400025516213483,0.6599614911197941,MNQ,discovery,H2_close_location,0.85,bottom_decile,10
3192,False,1.6408246190649072,0.6717902919769171,0.5363408521303258,19.635946333200014,3.4917899034648188,0.04855889724310777,0.046365914786967416,1.526530580997011,0.12697688629204265,MNQ,discovery,H2_close_location,0.85,top_decile,20
2696,False,0.41456005574873617,0.6717902919769171,0.5382047477744807,21.941850184446416,-0.4683921906140087,0.055637982195845696,0.056750741839762614,-0.36275823461314377,0.7168139402403352,MNQ,discovery,H2_close_location,0.85,bottom_decile,20
2105,False,2.773724976558058,1.3440923741333435,0.5406175771971496,29.0253159553551,2.2522726585035246,0.047980997624703085,0.04323040380047506,1.2650800772284485,0.20598271595814524,MNQ,discovery,H2_close_location,0.85,top_decile,40
1873,False,0.5050578423405496,1.3440923741333435,0.5493860117458622,30.876702488758355,-1.237920688763788,0.05499199145755473,0.053390282968499736,-0.7214325964785525,0.4707334888581956,MNQ,discovery,H2_close_location,0.85,bottom_decile,40
3934,False,0.8017498747844553,0.33501323588971044,0.5218607015760041,13.05707753921029,0.8094807199387599,0.0460091509913574,0.036349771225216064,1.2878299700260154,0.19788092474996807,MNQ,discovery,H2_close_location,0.9,top_decile,10
2993,False,0.1590256924662357,0.33501323588971044,0.5265619779485466,16.393377649726798,2.637670639929826,0.06682258603407952,0.07216839291680588,-0.33640762926671686,0.7365870883613479,MNQ,discovery,H2_close_location,0.9,bottom_decile,10
2887,False,1.6570819594698925,0.6717902919769171,0.5278836162105992,19.409681300686046,3.8632236202309946,0.046761343955663316,0.042604780048493246,1.485153562308356,0.13761236625357817,MNQ,discovery,H2_close_location,0.9,top_decile,20
2280,False,0.21720108719395742,0.6717902919769171,0.5416666666666666,23.15976533428722,-0.8424430405300577,0.060526315789473685,0.06184210526315789,-0.5636250388386548,0.5730647950975548,MNQ,discovery,H2_close_location,0.9,bottom_decile,20
1981,False,1.7777509140951417,1.3440923741333435,0.5340737001514386,29.234713125635192,2.2163356726937495,0.04745078243311459,0.046945986875315496,0.36809160524153883,0.7128442763639568,MNQ,discovery,H2_close_location,0.9,top_decile,40
1660,False,-0.0035256160870176193,1.3440923741333435,0.5397590361445783,32.08369517393282,-1.1740546741622626,0.05421686746987952,0.05783132530120482,-1.036384736892277,0.30017372384130614,MNQ,discovery,H2_close_location,0.9,bottom_decile,40
2975,False,0.7733158055329564,0.33501323588971044,0.5102521008403361,13.35638448518211,3.6378949713150086,0.049747899159663864,0.0373109243697479,1.0145945290342429,0.3103816819896953,MNQ,discovery,H2_close_location,0.95,top_decile,10
1966,False,0.3832347377233355,0.33501323588971044,0.5381485249237029,17.331544289854175,-0.3057834869751018,0.0762970498474059,0.07477110885045778,0.0737930375437449,0.9411825778706921,MNQ,discovery,H2_close_location,0.95,bottom_decile,10
2304,False,1.07813463712054,0.6717902919769171,0.5108506944444444,19.654415079180062,4.869284626857153,0.04774305555555555,0.045572916666666664,0.5494799655721321,0.58272938579355,MNQ,discovery,H2_close_location,0.95,top_decile,20
1621,False,0.5540236975710751,0.6717902919769171,0.5521283158544109,24.413793256458288,-1.3742131438084881,0.06785934608266501,0.06292412091301666,-0.1158673491511301,0.9077720334400784,MNQ,discovery,H2_close_location,0.95,bottom_decile,20
1700,False,1.6333101963337395,1.3440923741333435,0.5241176470588236,29.447866782292962,3.4001009800767665,0.05058823529411765,0.04411764705882353,0.22397406279408594,0.8228044141593572,MNQ,discovery,H2_close_location,0.95,top_decile,40
1273,False,0.6859784985653066,1.3440923741333435,0.5310290652003142,32.522656316801246,-0.7475614331573521,0.056559308719560095,0.061272584446190104,-0.4337977271828486,0.664508893583694,MNQ,discovery,H2_close_location,0.95,bottom_decile,40
4447,False,0.9790271696127706,0.3352156255953169,0.516303125702721,13.147992974536633,2.623039706490842,0.04677310546435799,0.035529570496964244,1.8316934771361209,0.06706396997443569,NQ,discovery,H2_close_location,0.85,top_decile,10
3640,False,0.14551057655745908,0.3352156255953169,0.5315934065934066,15.890516319825263,2.3157865654249554,0.06098901098901099,0.06703296703296703,-0.41385581891087425,0.6790040909605786,NQ,discovery,H2_close_location,0.85,bottom_decile,10
3207,False,1.6233966364965264,0.6720929962517687,0.5341440598690365,19.43910523244281,3.6165924131186293,0.04801995634549423,0.044589959463673216,1.5214047357942084,0.12825691819486632,NQ,discovery,H2_close_location,0.85,top_decile,20
