date,symbol,instrument_id,open,high,low,close,volume
2020-10-14,MNQZ0-MNQH1,95846,-8.3,-8.3,-8.3,-8.3,1
2020-10-14,MNQZ0-MNQM1,77547,-17.75,-17.75,-17.75,-17.75,20
2020-10-15,MNQH1,6227,11951.25,11951.25,11737.25,11912.0,1639
2020-10-15,MNQM1,9485,11768.5,11841.25,11768.5,11833.5,9
2020-10-15,MNQU1,3601,11833.75,11860.0,11833.75,11860.0,2
2020-10-15,MNQZ0,17706,11960.5,11968.5,11737.0,11915.5,910780
2020-10-16,MNQH1,6227,11902.75,12010.75,11783.25,11783.25,1040
2020-10-16,MNQM1,9485,11863.25,11973.25,11783.75,11783.75,9
2020-10-16,MNQU1,3601,11815.0,11815.0,11815.0,11815.0,1
2020-10-16,MNQZ0,17706,11915.25,12021.75,11792.25,11793.25,741366
2020-10-16,MNQZ0-MNQH1,95846,-8.3,-8.3,-8.5,-8.5,3
2020-10-18,MNQH1,6227,11827.0,11880.0,11822.5,11872.5,69
2020-10-18,MNQM1,9485,11865.0,11865.0,11865.0,11865.0,1
2020-10-18,MNQZ0,17706,11815.75,11888.75,11815.0,11873.0,20496
2020-10-19,MNQH1,6227,11866.75,11941.5,11587.0,11704.25,1887
2020-10-19,MNQM1,9485,11880.0,11920.0,11620.0,11701.25,32
2020-10-19,MNQU1,3601,11865.0,11865.0,11865.0,11865.0,1
2020-10-19,MNQZ0,17706,11872.75,11950.75,11592.0,11715.0,899157
2020-10-19,MNQZ0-MNQH1,95846,-8.75,-8.75,-8.75,-8.75,15
2020-10-19,MNQZ1,1447,11865.0,11865.0,11865.0,11865.0,1
2020-10-20,MNQH1,6227,11712.25,11777.0,11595.0,11689.25,1678
2020-10-20,MNQM1,9485,11701.25,11734.0,11601.25,11689.0,15
2020-10-20,MNQZ0,17706,11715.25,11792.0,11598.75,11703.75,913415
2020-10-20,MNQZ0-MNQH1,95846,-8.7,-8.6,-8.7,-8.6,6
2020-10-20,MNQZ0-MNQM1,77547,-20.0,-20.0,-20.0,-20.0,10
2020-10-21,MNQH1,6227,11700.5,11767.75,11575.0,11618.0,1275
2020-10-21,MNQM1,9485,11688.25,11688.25,11600.0,11600.0,25
2020-10-21,MNQZ0,17706,11704.25,11779.25,11581.25,11625.25,940705
2020-10-22,MNQH1,6227,11621.25,11710.0,11500.75,11659.0,1109
2020-10-22,MNQM1,9485,11588.0,11656.75,11528.0,11606.25,43
2020-10-22,MNQZ0,17706,11625.0,11723.75,11511.0,11664.75,894262
2020-10-22,MNQZ0-MNQH1,95846,-9.1,-9.1,-11.45,-11.45,3
2020-10-23,MNQH1,6227,11651.25,11682.75,11539.25,11662.75,943
2020-10-23,MNQM1,9485,11629.0,11644.5,11560.0,11644.5,26
2020-10-23,MNQZ0,17706,11664.25,11691.5,11550.5,11669.5,717641
2020-10-23,MNQZ0-MNQH1,95846,-6.25,-6.25,-8.35,-8.35,3
2020-10-25,MNQH1,6227,11625.0,11628.0,11569.75,11615.5,169
2020-10-25,MNQM1,9485,11581.75,11607.75,11581.75,11607.75,2
2020-10-25,MNQZ0,17706,11650.25,11651.0,11574.0,11627.25,26513
2020-10-25,MNQZ0-MNQH1,95846,-8.35,-8.35,-8.35,-8.35,2
2020-10-26,MNQH1,6227,11617.75,11685.5,11335.25,11482.0,1903
2020-10-26,MNQM1,9485,11550.0,11645.0,11350.0,11466.5,17
2020-10-26,MNQU1,3601,11603.5,11603.5,11603.5,11603.5,1
2020-10-26,MNQZ0,17706,11627.0,11695.75,11343.25,11489.25,929723
2020-10-26,MNQZ0-MNQH1,95846,-9.0,-9.0,-9.0,-9.0,1
2020-10-27,MNQH1,6227,11485.75,11610.5,11473.75,11530.0,1075
2020-10-27,MNQM1,9485,11500.0,11593.0,11477.5,11593.0,7
2020-10-27,MNQU1,3601,11522.25,11522.25,11522.25,11522.25,1
2020-10-27,MNQZ0,17706,11489.5,11623.0,11482.75,11537.75,800744
2020-10-28,MNQH1,6227,11530.75,11556.25,11113.5,11175.0,1327
2020-10-28,MNQM1,9485,11372.0,11372.0,11155.0,11160.0,29
2020-10-28,MNQZ0,17706,11538.25,11566.5,11124.0,11189.25,1051601
2020-10-28,MNQZ0-MNQH1,95846,-6.2,-6.1,-9.5,-9.5,4
2020-10-29,MNQH1,6227,11170.5,11446.0,11138.75,11205.25,1993
2020-10-29,MNQM1,9485,11179.0,11400.5,11176.75,11188.5,40
2020-10-29,MNQZ0,17706,11189.0,11457.75,11145.0,11214.25,958848
2020-10-29,MNQZ0-MNQH1,95846,-9.5,-9.5,-10.35,-10.35,7
2020-10-29,MNQZ1,1447,11150.0,11175.0,11150.0,11175.0,2
2020-10-30,MNQH1,6227,11197.5,11270.0,10936.75,11080.25,2299
2020-10-30,MNQM1,9485,11188.25,11216.0,10950.0,11005.0,11
2020-10-30,MNQU1,3601,11100.0,11100.0,11100.0,11100.0,1
2020-10-30,MNQZ0,17706,11214.0,11281.25,10944.25,11087.25,1342532
2020-10-30,MNQZ0-MNQH1,95846,-10.3,-10.3,-10.3,-10.3,3
2020-10-30,MNQZ0-MNQM1,77547,-23.4,-23.4,-23.4,-23.4,10
2020-11-01,MNQH1,6227,11014.5,11054.75,10978.5,10987.75,79
2020-11-01,MNQZ0,17706,11039.0,11069.0,10982.0,10999.0,26345
2020-11-02,MNQH1,6227,10990.25,11202.5,10937.0,11078.25,1995
2020-11-02,MNQM1,9485,10985.0,11112.0,10959.0,10959.0,17
2020-11-02,MNQU1,3601,10950.0,10950.0,10950.0,10950.0,1
2020-11-02,MNQZ0,17706,10999.25,11212.0,10942.25,11087.75,1093616
2020-11-02,MNQZ0-MNQH1,95846,-9.95,-9.85,-9.95,-9.95,26
2020-11-03,MNQH1,6227,11082.0,11337.75,11060.0,11309.5,1519
2020-11-03,MNQM1,9485,11129.5,11277.0,11099.25,11270.0,16
2020-11-03,MNQU1,3601,11072.25,11072.25,11072.25,11072.25,1
2020-11-03,MNQZ0,17706,11088.0,11347.25,11066.25,11318.0,932845
2020-11-03,MNQZ0-MNQH1,95846,-11.65,-11.65,-11.65,-11.65,1
2020-11-04,MNQH1,6227,11310.0,11837.75,11230.0,11782.25,4721
2020-11-04,MNQM1,9485,11692.0,11770.0,11438.75,11770.0,61
2020-11-04,MNQZ0,17706,11317.75,11845.25,11230.0,11795.75,1333534
2020-11-04,MNQZ0-MNQH1,95846,-9.2,-7.55,-9.2,-7.55,3
2020-11-05,MNQH1,6227,11790.5,12103.25,11770.25,12058.5,3133
2020-11-05,MNQM1,9485,11777.0,12080.0,11777.0,12026.75,59
2020-11-05,MNQU1,3601,11870.0,12060.75,11870.0,12060.75,3
2020-11-05,MNQZ0,17706,11795.25,12118.5,11771.25,12067.5,1092851
2020-11-05,MNQZ0-MNQH1,95846,-8.5,-8.5,-8.5,-8.5,4
2020-11-06,MNQH1,6227,12045.5,12098.75,11863.25,12079.75,1285
2020-11-06,MNQM1,9485,12017.0,12082.25,11885.0,12082.25,26
2020-11-06,MNQU1,3601,11960.25,11960.25,11960.25,11960.25,2
2020-11-06,MNQZ0,17706,12067.0,12109.0,11869.5,12095.5,1258774
2020-11-08,MNQH1,6227,12111.0,12249.25,12111.0,12229.25,217
2020-11-08,MNQM1,9485,12145.0,12199.75,12145.0,12199.75,6
2020-11-08,MNQZ0,17706,12134.75,12258.5,12122.0,12233.25,39737
2020-11-08,MNQZ0-MNQH1,95846,-11.95,-11.95,-11.95,-11.95,2
2020-11-09,MNQH1,6227,12230.0,12399.0,11814.75,11843.25,4054
2020-11-09,MNQM1,9485,12210.0,12355.0,11857.75,11867.0,79
2020-11-09,MNQU1,3601,12236.0,12245.0,12152.25,12231.75,7
2020-11-09,MNQZ0,17706,12233.0,12408.0,11812.75,11855.0,1571270
2020-11-09,MNQZ0-MNQH1,95846,-7.9,-7.9,-9.0,-8.0,22
2020-11-09,MNQZ1,1447,11990.0,11990.0,11990.0,11990.0,1
2020-11-10,MNQH1,6227,11836.0,11883.5,11496.0,11579.0,2267
2020-11-10,MNQM1,9485,11730.0,11730.0,11500.0,11596.5,6
2020-11-10,MNQU1,3601,11626.75,11699.25,11553.0,11606.5,6
2020-11-10,MNQZ0,17706,11855.75,11893.75,11503.0,11598.25,1851319
2020-11-10,MNQZ0-MNQH1,95846,-9.2,-7.8,-9.2,-8.0,64
2020-11-11,MNQH1,6227,11586.0,11909.0,11570.0,11880.5,1555
2020-11-11,MNQM1,9485,11656.5,11880.0,11580.0,11876.5,21
2020-11-11,MNQU1,3601,11700.0,11890.75,11700.0,11890.75,2
2020-11-11,MNQZ0,17706,11597.75,11919.5,11575.0,11897.25,1105847
2020-11-11,MNQZ0-MNQH1,95846,-7.8,-7.45,-7.8,-7.45,7
2020-11-11,MNQZ1,1447,11745.0,11750.0,11745.0,11750.0,2
2020-11-12,MNQH1,6227,11892.0,11962.5,11770.0,11847.75,1196
2020-11-12,MNQM1,9485,11786.0,11934.75,11760.0,11840.0,21
2020-11-12,MNQZ0,17706,11896.5,11975.0,11775.75,11852.25,1082839
2020-11-12,MNQZ0-MNQH1,95846,-7.4,-7.1,-7.4,-7.35,19
2020-11-13,MNQH1,6227,11843.0,11945.0,11795.0,11936.0,884
2020-11-13,MNQM1,9485,11811.0,11910.0,11781.5,11910.0,12
2020-11-13,MNQU1,3601,11830.0,11830.0,11830.0,11830.0,1
