date,open,high,low,close,volume,instrument_id
2020-01-27,9014.75,9054.0,8926.0,8978.75,384929,8196
2020-01-28,8978.75,9136.0,8964.5,9100.0,310062,8196
2020-01-29,9100.0,9158.75,9072.25,9121.75,303846,8196
2020-01-30,9122.0,9240.0,9003.75,9218.0,394978,8196
2020-01-31,9217.75,9249.0,8965.0,9012.5,567021,8196
2020-02-02,8983.75,9037.75,8975.0,9020.25,11823,8196
2020-02-03,9019.5,9155.75,9011.0,9089.75,293195,8196
2020-02-04,9090.0,9369.0,9087.5,9338.0,273826,8196
2020-02-05,9338.0,9464.25,9318.25,9381.0,328511,8196
2020-02-06,9381.0,9477.0,9363.0,9466.75,255964,8196
2020-02-07,9466.75,9470.75,9385.0,9400.0,274272,8196
2020-02-09,9401.25,9424.5,9330.75,9356.25,16712,8196
2020-02-10,9356.25,9531.75,9356.25,9525.25,253734,8196
2020-02-11,9525.75,9609.5,9501.5,9541.25,259168,8196
2020-02-12,9541.25,9628.0,9524.25,9576.5,221780,8196
2020-02-13,9577.75,9644.75,9511.25,9609.75,288228,8196
2020-02-14,9610.0,9659.25,9588.25,9630.75,222432,8196
2020-02-16,9632.0,9668.75,9630.75,9664.0,5171,8196
2020-02-17,9663.75,9687.25,9579.75,9602.75,58572,8196
2020-02-18,9603.0,9664.75,9534.0,9664.25,249808,8196
2020-02-19,9664.25,9748.75,9647.5,9745.0,192250,8196
2020-02-20,9744.75,9763.0,9516.25,9572.75,496431,8196
2020-02-21,9573.5,9612.0,9411.5,9456.25,443856,8196
2020-02-23,9365.75,9365.75,9289.0,9309.75,25428,8196
2020-02-24,9310.0,9324.0,9041.0,9140.5,714456,8196
2020-02-25,9141.0,9224.5,8810.0,8921.25,886086,8196
2020-02-26,8921.5,9037.75,8709.25,8832.0,929365,8196
2020-02-27,8831.25,8852.75,8313.0,8413.75,1128729,8196
2020-02-28,8414.25,8575.0,8124.25,8547.5,1543496,8196
2020-03-01,8376.25,8386.5,8248.5,8355.25,24964,8196
2020-03-02,8355.25,8883.0,8315.75,8859.5,1038812,8196
2020-03-03,8860.0,9003.0,8507.25,8562.5,1080058,8196
2020-03-04,8561.5,8950.0,8557.75,8882.75,700950,8196
2020-03-05,8883.25,8888.0,8610.75,8694.0,718218,8196
2020-03-06,8693.5,8726.0,8312.0,8503.75,852124,8196
2020-03-08,8418.25,8418.25,8101.25,8115.0,42492,8196
2020-03-09,8114.25,8240.25,7801.0,8109.0,569921,8196
2020-03-10,8110.5,8380.0,7931.5,8211.0,1001837,8196
2020-03-11,8211.0,8250.0,7892.75,7995.0,888499,8196
2020-03-12,7995.25,8018.75,7058.5,7116.75,1064278,8196
2020-03-13,7114.5,7980.0,6942.5,7821.0,252688,8196
2020-03-15,7900.5,7902.25,7556.0,7556.0,3120,8196
2020-03-16,7556.0,7564.5,6926.75,7160.75,119284,8196
2020-03-17,7161.0,7550.25,6946.25,7188.5,123704,8196
2020-03-18,7189.5,7441.5,6828.75,7377.75,85443,8196
2020-03-19,7381.25,7522.5,6896.25,7224.0,74211,8196
2020-03-20,7219.25,7649.0,7187.25,7451.0,6927,8196
2020-03-22,6852.75,6852.75,6628.75,6685.0,9116,8204
2020-03-23,6685.5,7319.25,6628.75,7083.75,926297,8204
2020-03-24,7081.5,7633.5,7034.75,7496.25,746144,8204
2020-03-25,7496.75,7762.25,7372.5,7479.0,905852,8204
2020-03-26,7477.75,7900.25,7310.0,7877.0,815182,8204
2020-03-27,7877.5,7893.5,7551.0,7559.25,699499,8204
2020-03-29,7446.25,7507.75,7391.25,7465.5,27617,8204
2020-03-30,7466.75,7886.0,7455.75,7875.0,621813,8204
2020-03-31,7875.5,7995.0,7704.75,7712.0,645186,8204
2020-04-01,7711.0,7744.25,7403.75,7506.75,623858,8204
2020-04-02,7507.25,7656.5,7375.5,7591.75,753334,8204
2020-04-03,7591.75,7660.5,7423.5,7524.0,500926,8204
2020-04-05,7531.0,7657.5,7531.0,7654.0,20531,8204
2020-04-06,7654.5,8099.0,7651.25,8080.5,518037,8204
2020-04-07,8081.5,8303.75,7947.75,8042.0,731589,8204
2020-04-08,8041.25,8242.0,7953.0,8224.25,604574,8204
2020-04-09,8226.5,8327.0,8102.0,8239.75,624687,8204
2020-04-12,8276.0,8309.0,8075.0,8118.25,28247,8204
2020-04-13,8118.25,8374.0,8085.25,8365.5,430257,8204
2020-04-14,8366.25,8708.5,8319.0,8673.5,449215,8204
2020-04-15,8673.75,8682.0,8486.5,8532.75,498831,8204
2020-04-16,8533.0,8967.75,8500.5,8933.25,616762,8204
2020-04-17,8933.5,8953.0,8689.0,8808.0,537724,8204
2020-04-19,8800.75,8801.5,8733.0,8747.0,17883,8204
2020-04-20,8747.5,8846.0,8686.25,8730.25,512469,8204
2020-04-21,8730.5,8763.0,8342.0,8458.0,755724,8204
2020-04-22,8458.5,8699.25,8399.5,8616.5,509590,8204
2020-04-23,8617.0,8787.0,8531.75,8552.25,505723,8204
2020-04-24,8552.75,8804.0,8498.0,8767.25,438642,8204
2020-04-26,8766.75,8814.5,8728.75,8753.5,21207,8204
2020-04-27,8753.75,8898.0,8736.0,8823.5,421757,8204
2020-04-28,8823.25,8946.0,8654.25,8767.75,576121,8204
2020-04-29,8767.5,9119.25,8764.25,9091.0,548887,8204
2020-04-30,9090.75,9144.75,8803.0,8838.25,645486,8204
2020-05-01,8839.5,8878.5,8671.75,8702.0,498695,8204
2020-05-03,8654.25,8654.25,8561.5,8583.0,26665,8204
2020-05-04,8583.0,8827.5,8556.75,8823.75,514212,8204
2020-05-05,8824.0,9019.75,8818.5,8956.25,519766,8204
2020-05-06,8956.5,9056.5,8877.75,8964.75,566047,8204
2020-05-07,8964.75,9143.75,8964.75,9141.25,498736,8204
2020-05-08,9141.5,9238.0,9116.0,9221.25,440768,8204
2020-05-10,9199.0,9257.0,9173.0,9253.5,24462,8204
2020-05-11,9254.0,9338.75,9118.75,9277.25,569599,8204
2020-05-12,9277.5,9345.75,9006.5,9014.25,693355,8204
2020-05-13,9014.5,9202.5,8878.25,9011.5,942291,8204
2020-05-14,9012.25,9111.5,8846.5,9107.75,845970,8204
2020-05-15,9107.5,9148.75,8925.25,9119.75,791472,8204
2020-05-17,9121.5,9179.0,9110.0,9164.75,29623,8204
2020-05-18,9165.25,9361.5,9155.75,9344.25,542805,8204
2020-05-19,9343.5,9417.25,9273.25,9318.25,648373,8204
2020-05-20,9318.5,9503.25,9310.0,9485.75,526053,8204
2020-05-21,9485.75,9510.5,9349.5,9402.75,641595,8204
2020-05-22,9403.75,9422.75,9241.25,9422.75,589151,8204
2020-05-24,9404.5,9463.75,9390.5,9456.0,17859,8204
2020-05-25,9456.0,9536.75,9416.25,9510.25,172942,8204
2020-05-26,9509.75,9604.0,9373.0,9394.5,566676,8204
2020-05-27,9394.5,9508.0,9173.25,9442.25,771843,8204
2020-05-28,9442.0,9565.5,9320.5,9418.25,781723,8204
2020-05-29,9418.5,9590.5,9372.0,9589.0,865701,8204
2020-05-31,9541.0,9541.0,9450.0,9507.25,26023,8204
2020-06-01,9507.25,9606.0,9481.25,9565.75,544784,8204
2020-06-02,9566.0,9677.25,9505.0,9675.0,559488,8204
2020-06-03,9675.5,9728.25,9640.75,9696.75,498414,8204
2020-06-04,9696.75,9742.5,9572.5,9618.75,578148,8204
2020-06-05,9619.0,9846.75,9602.0,9807.5,542151,8204
2020-06-07,9819.0,9875.75,9808.0,9870.75,18467,8204
2020-06-08,9871.75,9901.0,9746.75,9880.0,427771,8204
2020-06-09,9879.5,10007.5,9811.5,9989.25,542674,8204
2020-06-10,9989.5,10155.5,9958.5,10043.5,648341,8204
2020-06-11,10043.5,10096.0,9584.5,9678.75,1055307,8204
2020-06-12,9678.5,9849.0,9495.0,9642.25,549445,8204
2020-06-14,9540.25,9585.75,9502.75,9551.5,15923,8204
2020-06-15,9552.25,9879.5,9381.0,9877.5,280605,8204
2020-06-16,9876.5,10015.5,9797.0,9994.5,116469,8204
2020-06-17,9994.5,10061.25,9926.0,9962.25,49805,8204
