date,open,high,low,close,volume,instrument_id
2015-05-05,4474.0,4480.25,4399.5,4410.75,306807,58385
2015-05-06,4411.0,4423.5,4341.5,4370.0,335777,58385
2015-05-07,4369.75,4409.25,4332.5,4403.75,248166,58385
2015-05-08,4404.25,4462.75,4402.0,4447.0,215715,58385
2015-05-10,4452.5,4453.5,4448.25,4452.0,1064,58385
2015-05-11,4451.5,4464.5,4426.75,4429.25,170474,58385
2015-05-12,4428.75,4438.0,4374.5,4427.75,257069,58385
2015-05-13,4428.0,4457.75,4417.5,4427.0,201029,58385
2015-05-14,4427.25,4493.0,4412.75,4490.25,183974,58385
2015-05-15,4490.5,4507.5,4477.75,4490.0,140172,58385
2015-05-17,4491.25,4493.75,4486.25,4486.5,584,58385
2015-05-18,4486.75,4517.75,4470.5,4509.25,128353,58385
2015-05-19,4509.25,4526.5,4496.5,4499.75,127750,58385
2015-05-20,4500.0,4534.0,4482.25,4490.25,172410,58385
2015-05-21,4490.75,4536.5,4488.0,4528.25,122252,58385
2015-05-22,4528.25,4542.0,4522.0,4527.0,100399,58385
2015-05-24,4527.5,4532.0,4526.25,4528.0,501,58385
2015-05-25,4528.25,4538.5,4517.5,4525.75,8589,58385
2015-05-26,4525.5,4528.25,4455.0,4476.75,219727,58385
2015-05-27,4477.0,4551.0,4473.0,4541.5,198818,58385
2015-05-28,4541.5,4547.5,4521.75,4541.5,151226,58385
2015-05-29,4541.75,4545.25,4497.25,4512.75,197347,58385
2015-05-31,4514.0,4522.0,4512.25,4517.0,1462,58385
2015-06-01,4517.25,4538.25,4486.0,4525.75,215274,58385
2015-06-02,4525.75,4531.75,4480.75,4506.0,222196,58385
2015-06-03,4505.75,4540.75,4501.25,4526.25,189764,58385
2015-06-04,4525.75,4526.0,4473.25,4494.5,284228,58385
2015-06-05,4494.0,4506.5,4449.25,4480.5,228783,58385
2015-06-07,4479.5,4483.25,4477.25,4480.0,1045,58385
2015-06-08,4480.0,4481.5,4422.0,4437.0,233941,58385
2015-06-09,4436.5,4441.25,4390.25,4433.0,221175,58385
2015-06-10,4433.25,4498.25,4430.5,4483.5,225505,58385
2015-06-11,4483.5,4512.25,4479.25,4487.25,129948,58385
2015-06-12,4486.75,4488.25,4447.75,4456.0,86157,58385
2015-06-14,4443.5,4444.25,4423.25,4436.25,651,58385
2015-06-15,4436.75,4444.75,4394.25,4432.0,65799,58385
2015-06-16,4432.0,4463.5,4403.0,4458.0,36179,58385
2015-06-17,4459.0,4482.75,4440.0,4461.25,28704,58385
2015-06-18,4461.25,4541.75,4447.5,4534.5,36049,58385
2015-06-19,4534.25,4546.75,4526.75,4531.0,1115,58385
2015-06-21,4512.5,4521.25,4512.25,4517.0,1416,2913
2015-06-22,4517.0,4552.25,4514.25,4539.25,155589,2913
2015-06-23,4539.75,4548.75,4522.75,4543.0,113878,2913
2015-06-24,4543.0,4555.25,4514.5,4522.25,164868,2913
2015-06-25,4522.0,4547.5,4500.0,4507.5,169085,2913
2015-06-26,4507.5,4517.0,4459.75,4480.0,220218,2913
2015-06-28,4429.75,4429.75,4400.0,4411.25,7499,2913
2015-06-29,4411.5,4451.5,4368.25,4384.5,322770,2913
2015-06-30,4385.25,4412.25,4372.0,4389.75,298084,2913
2015-07-01,4423.75,4441.75,4392.0,4420.75,191260,2913
2015-07-02,4420.5,4441.5,4408.25,4427.0,152726,2913
2015-07-03,4426.5,4436.0,4412.0,4417.75,20735,2913
2015-07-05,4366.0,4370.0,4344.0,4365.5,6023,2913
2015-07-06,4366.25,4437.25,4364.5,4430.0,260166,2913
2015-07-07,4429.5,4448.0,4334.5,4413.0,379307,2913
2015-07-08,4413.25,4414.25,4336.5,4357.25,329138,2913
2015-07-09,4357.25,4408.0,4331.75,4371.75,264680,2913
2015-07-10,4371.5,4426.5,4362.25,4412.5,226511,2913
2015-07-12,4384.0,4396.5,4372.5,4392.0,3856,2913
2015-07-13,4392.0,4491.75,4388.0,4487.75,204858,2913
2015-07-14,4487.75,4529.75,4486.5,4515.5,155725,2913
2015-07-15,4515.5,4542.75,4509.25,4539.75,186978,2913
2015-07-16,4539.75,4618.25,4537.0,4615.25,187518,2913
2015-07-17,4616.0,4654.0,4607.25,4653.5,181362,2913
2015-07-19,4649.0,4652.75,4646.5,4651.75,882,2913
2015-07-20,4651.75,4686.0,4648.5,4672.0,167993,2913
2015-07-21,4671.75,4683.0,4611.5,4615.0,221240,2913
2015-07-22,4615.25,4636.5,4588.75,4626.0,228146,2913
2015-07-23,4625.5,4634.75,4584.25,4627.5,208344,2913
2015-07-24,4628.0,4638.75,4544.5,4564.0,233174,2913
2015-07-26,4562.25,4563.0,4557.25,4560.0,1607,2913
2015-07-27,4560.25,4568.25,4503.5,4521.0,286732,2913
2015-07-28,4521.0,4561.25,4497.0,4557.5,279071,2913
2015-07-29,4558.0,4579.5,4544.0,4561.5,221177,2913
2015-07-30,4561.25,4598.75,4530.75,4589.5,221836,2913
2015-07-31,4589.5,4608.75,4576.25,4583.25,213014,2913
2015-08-02,4583.25,4587.25,4580.25,4586.0,998,2913
2015-08-03,4586.0,4599.25,4540.5,4564.25,251733,2913
2015-08-04,4564.0,4581.25,4543.5,4553.5,251575,2913
2015-08-05,4553.5,4629.0,4552.75,4589.75,248350,2913
2015-08-06,4590.0,4608.75,4502.75,4524.5,267631,2913
2015-08-07,4524.5,4533.75,4480.5,4514.25,244674,2913
2015-08-09,4514.0,4519.75,4512.75,4517.0,1521,2913
2015-08-10,4517.5,4584.75,4516.25,4582.0,197762,2913
2015-08-11,4581.75,4581.75,4485.5,4521.75,295668,2913
2015-08-12,4521.5,4535.5,4431.25,4530.0,355241,2913
2015-08-13,4530.25,4557.0,4508.75,4512.25,234642,2913
2015-08-14,4513.0,4534.0,4499.0,4533.0,166137,2913
2015-08-16,4532.5,4536.75,4530.25,4533.75,800,2913
2015-08-17,4533.75,4567.75,4503.25,4565.25,190657,2913
2015-08-18,4566.0,4573.5,4533.75,4542.5,164513,2913
2015-08-19,4542.5,4552.25,4483.25,4505.5,327714,2913
2015-08-20,4505.5,4513.0,4360.0,4366.25,441243,2913
2015-08-21,4366.75,4368.25,4189.0,4191.75,599585,2913
2015-08-23,4183.75,4183.75,4151.0,4165.25,10154,2913
2015-08-24,4165.75,4196.25,3908.25,4032.5,712480,2913
